season,team,wins,losses,g,ppg,opp_ppg,fg_pct,tp_pct,ft_pct,rpg,apg,tov_pg,tp_attempts_pg,pace,srs
1991,New Jersey Nets,26.0,56.0,82,102.9,107.5,44.4,27.500000000000004,73.9,45.7,21.7,17.4,7.1,99.3,-4.53
1991,Charlotte Hornets,26.0,56.0,82,102.8,108.0,46.7,31.4,77.9,39.4,24.6,15.7,5.1,97.3,-4.95
1991,Miami Heat,24.0,58.0,82,101.8,107.8,45.9,30.2,71.5,43.1,23.2,18.9,5.7,99.3,-5.91
1991,Cleveland Cavaliers,33.0,49.0,82,101.7,104.2,47.5,33.4,76.5,40.7,27.3,15.6,5.8,95.1,-2.33
1991,Washington Bullets,30.0,52.0,82,101.4,106.4,46.6,19.400000000000002,72.89999999999999,43.5,25.4,16.6,3.5,97.5,-4.84
1991,Detroit Pistons,50.0,32.0,82,100.1,96.8,46.5,29.799999999999997,76.3,44.6,22.3,14.4,5.4,91.9,3.08
1991,Dallas Mavericks,28.0,54.0,82,99.9,104.5,47.099999999999994,32.2,76.1,40.8,22.2,14.5,7.3,94.2,-4.27
1991,Minnesota Timberwolves,29.0,53.0,82,99.6,103.5,44.9,28.299999999999997,73.5,41.3,23.0,13.0,4.6,92.3,-3.75
1991,Sacramento Kings,25.0,57.0,82,96.7,103.5,45.300000000000004,37.4,73.2,39.6,24.3,15.5,7.0,94.7,-6.27
1992,Golden State Warriors,55.0,27.0,82,118.7,114.8,50.7,33.300000000000004,74.6,42.8,25.2,16.5,9.3,103.4,3.77
1992,Indiana Pacers,40.0,42.0,82,112.2,110.3,49.4,35.4,79.0,44.5,29.2,17.1,11.5,99.0,1.85
1992,Phoenix Suns,53.0,29.0,82,112.1,106.2,49.2,38.1,77.60000000000001,44.5,26.9,15.2,7.3,99.4,5.68
1992,Portland Trail Blazers,57.0,25.0,82,111.4,104.1,47.3,34.4,75.4,46.9,25.2,16.2,11.5,99.0,6.94
1992,Chicago Bulls,67.0,15.0,82,109.9,99.5,50.8,30.4,74.4,44.0,27.8,13.3,5.5,94.4,10.07
1992,Charlotte Hornets,31.0,51.0,82,109.5,113.4,47.699999999999996,31.7,75.5,43.1,27.9,15.5,4.5,101.7,-3.57
1992,Cleveland Cavaliers,57.0,25.0,82,108.9,103.4,48.8,35.699999999999996,80.5,42.6,27.6,13.1,8.6,95.0,5.34
1992,Utah Jazz,55.0,27.0,82,108.3,101.9,49.2,34.5,78.8,44.4,26.7,15.4,5.6,95.5,5.7
1992,Boston Celtics,51.0,31.0,82,106.6,103.0,49.2,30.599999999999998,80.80000000000001,44.9,25.3,14.2,4.4,95.8,3.41
1992,Seattle SuperSonics,47.0,35.0,82,106.5,104.7,47.4,31.7,78.3,43.2,22.9,16.1,7.9,95.4,1.86
1992,Atlanta Hawks,38.0,44.0,82,106.2,107.7,46.7,31.3,73.1,46.2,25.9,15.3,8.2,97.8,-1.15
1992,New Jersey Nets,40.0,42.0,82,105.4,107.1,45.800000000000004,33.4,73.2,47.6,23.6,17.0,8.2,98.0,-1.54
1992,Miami Heat,38.0,44.0,82,105.0,109.2,46.1,34.2,79.0,43.3,21.3,16.8,9.2,97.7,-3.94
1992,Milwaukee Bucks,31.0,51.0,82,105.0,106.7,46.0,36.9,75.9,42.3,24.6,16.5,12.3,95.5,-1.46
1992,Sacramento Kings,29.0,53.0,82,104.3,110.3,46.6,35.3,74.7,41.6,23.9,16.6,8.2,99.6,-5.63
1992,San Antonio Spurs,47.0,35.0,82,104.0,100.6,47.599999999999994,29.2,73.6,46.1,24.5,16.0,4.9,96.2,2.81
1992,Los Angeles Clippers,45.0,37.0,82,102.9,101.9,47.3,28.9,72.0,43.0,25.0,15.5,6.1,96.5,1.1
1992,Washington Bullets,25.0,57.0,82,102.4,106.8,46.1,27.200000000000003,77.8,41.6,24.5,15.3,6.5,97.7,-4.35
1992,Houston Rockets,42.0,40.0,82,102.0,103.7,47.5,34.300000000000004,73.8,42.8,25.1,16.8,11.7,95.1,-1.94
1992,Philadelphia 76ers,35.0,47.0,82,101.9,103.2,47.099999999999994,33.4,77.5,41.1,21.4,15.1,8.3,93.7,-1.34
1992,New York Knicks,51.0,31.0,82,101.6,97.7,47.699999999999996,32.5,73.4,44.8,26.0,15.1,7.5,92.9,3.67
