season,team,wins,losses,g,ppg,opp_ppg,fg_pct,tp_pct,ft_pct,rpg,apg,tov_pg,tp_attempts_pg,pace,srs
1997,Philadelphia 76ers,22.0,60.0,82,100.2,106.7,43.8,31.900000000000002,72.5,44.2,20.7,17.5,16.5,95.3,-5.89
1997,Los Angeles Lakers,56.0,26.0,82,100.0,95.7,45.4,36.7,69.19999999999999,42.8,22.5,14.9,18.3,91.1,3.66
1997,Golden State Warriors,30.0,52.0,82,99.6,104.4,45.6,35.3,77.8,40.8,22.2,17.2,16.6,91.9,-4.9
1997,Washington Bullets,44.0,38.0,82,99.4,97.7,48.0,33.1,70.7,41.8,23.4,15.7,12.2,92.4,1.77
1997,Portland Trail Blazers,49.0,33.0,82,99.0,94.8,46.400000000000006,35.8,71.3,43.3,20.9,16.5,17.1,90.9,3.56
1997,Charlotte Hornets,54.0,28.0,82,98.9,97.0,47.099999999999994,42.8,77.7,39.1,24.6,14.7,16.9,88.6,2.13
1997,Denver Nuggets,21.0,61.0,82,97.8,104.1,43.9,37.2,76.1,42.0,23.0,16.6,20.9,92.4,-6.4
1997,Los Angeles Clippers,36.0,46.0,82,97.2,99.5,44.6,35.4,73.1,40.7,20.3,16.0,16.3,91.3,-2.66
1997,New Jersey Nets,26.0,56.0,82,97.2,101.8,42.199999999999996,35.3,74.0,46.2,21.0,15.7,16.7,92.4,-3.89
1997,Sacramento Kings,34.0,48.0,82,96.4,99.8,45.4,39.1,72.3,41.5,21.9,16.2,12.9,91.0,-3.64
1997,Minnesota Timberwolves,40.0,42.0,82,96.1,97.6,45.6,33.900000000000006,75.1,39.7,22.9,15.2,13.3,90.7,-1.82
1997,Toronto Raptors,30.0,52.0,82,95.5,98.6,43.7,36.3,72.0,41.3,20.9,16.4,19.8,90.6,-2.56
1997,New York Knicks,57.0,25.0,82,95.4,92.2,46.300000000000004,36.3,74.8,42.5,22.1,17.8,15.8,90.5,3.31
1997,Indiana Pacers,39.0,43.0,82,95.4,94.4,45.6,38.1,72.2,41.7,21.3,16.3,13.8,89.0,1.49
1997,Milwaukee Bucks,33.0,49.0,82,95.3,97.2,47.099999999999994,35.199999999999996,74.1,39.2,19.6,15.7,11.2,89.5,-1.38
1997,Miami Heat,61.0,21.0,82,94.8,89.3,45.300000000000004,36.4,71.89999999999999,41.0,21.2,15.9,22.7,88.2,5.56
1997,Atlanta Hawks,56.0,26.0,82,94.8,89.4,44.6,35.9,76.3,41.1,19.0,15.0,22.4,86.8,5.52
1997,Detroit Pistons,54.0,28.0,82,94.2,88.9,46.400000000000006,38.800000000000004,74.5,38.4,19.0,12.7,18.3,84.5,5.45
1997,Orlando Magic,45.0,37.0,82,94.1,94.5,43.7,34.1,74.6,40.1,20.6,15.2,20.3,88.3,-0.07
1997,Dallas Mavericks,24.0,58.0,82,90.6,97.0,43.6,32.7,71.7,40.3,20.3,16.1,16.0,89.0,-6.47
1997,San Antonio Spurs,20.0,62.0,82,90.5,98.3,44.2,32.0,71.89999999999999,39.4,20.3,15.2,14.4,87.3,-7.93
1997,Vancouver Grizzlies,14.0,68.0,82,89.2,99.4,43.7,34.9,70.89999999999999,38.8,22.7,15.9,15.5,88.4,-10.17
1997,Cleveland Cavaliers,42.0,40.0,82,87.5,85.6,45.300000000000004,37.6,72.3,37.4,20.9,14.5,15.7,82.9,2.32
1998,Los Angeles Lakers,61.0,21.0,82,105.5,97.8,48.1,35.099999999999994,67.9,43.3,24.5,15.3,17.3,93.6,6.88
1998,Minnesota Timberwolves,45.0,37.0,82,101.1,100.4,46.1,34.699999999999996,74.3,42.6,25.2,13.9,10.6,92.6,0.17
1998,Utah Jazz,62.0,20.0,82,101.0,94.4,49.0,37.2,77.3,41.1,25.2,15.4,8.2,89.2,5.73
1998,Seattle SuperSonics,61.0,21.0,82,100.6,93.4,47.3,39.6,72.1,38.5,24.2,14.0,19.1,89.8,6.33
1998,Phoenix Suns,56.0,26.0,82,99.6,94.4,46.800000000000004,35.6,74.9,42.0,25.9,15.1,14.8,91.4,4.44
1998,New Jersey Nets,43.0,39.0,82,99.6,98.1,44.1,33.1,74.4,42.5,20.5,14.4,11.4,91.0,1.88
1998,Houston Rockets,41.0,41.0,82,98.8,99.5,45.2,34.300000000000004,77.10000000000001,40.7,21.9,15.8,20.4,91.0,-1.23
1998,Washington Wizards,42.0,40.0,82,97.2,96.6,45.2,33.900000000000006,69.1,42.2,23.2,14.1,11.5,91.8,1.11
1998,Chicago Bulls,62.0,20.0,82,96.7,89.6,45.1,32.300000000000004,74.3,44.9,23.8,14.4,11.7,89.0,7.24
1998,Charlotte Hornets,51.0,31.0,82,96.6,94.6,46.800000000000004,38.3,75.1,40.6,23.7,15.2,11.0,89.4,2.45
1998,Vancouver Grizzlies,19.0,63.0,82,96.6,103.9,45.800000000000004,36.199999999999996,73.9,41.4,23.9,17.1,11.0,92.1,-7.47
1998,Indiana Pacers,58.0,24.0,82,96.0,89.9,46.9,39.0,76.4,39.3,23.0,14.2,12.5,87.9,6.25
1998,Boston Celtics,36.0,46.0,82,95.9,98.5,43.4,33.2,72.6,39.5,22.1,16.2,15.2,93.3,-1.96
1998,Los Angeles Clippers,17.0,65.0,82,95.9,103.3,43.8,35.8,72.3,40.4,18.7,16.1,17.9,92.4,-7.53
1998,Atlanta Hawks,50.0,32.0,82,95.9,92.3,45.5,33.2,75.6,43.0,19.1,14.8,12.4,87.7,3.85
1998,Miami Heat,55.0,27.0,82,95.0,90.0,45.0,35.5,73.9,42.0,21.4,15.0,18.8,87.9,5.09
1998,Toronto Raptors,16.0,66.0,82,94.9,104.2,43.5,34.300000000000004,71.8,40.7,21.3,16.7,13.2,92.6,-8.33
1998,Milwaukee Bucks,36.0,46.0,82,94.5,96.4,45.6,35.4,76.7,39.9,20.1,16.9,8.6,90.2,-1.33
1998,Portland Trail Blazers,46.0,36.0,82,94.3,92.9,45.1,30.9,73.7,44.0,21.5,16.9,12.8,90.0,0.83
1998,Detroit Pistons,37.0,45.0,82,94.2,92.6,44.9,31.2,74.5,41.2,19.5,14.6,11.4,88.2,1.95
1998,Philadelphia 76ers,31.0,51.0,82,93.3,95.7,44.3,30.0,73.7,41.7,21.1,16.5,9.9,90.5,-1.89
1998,Sacramento Kings,27.0,55.0,82,93.1,98.7,44.2,35.099999999999994,68.7,41.4,22.4,15.5,9.8,92.1,-5.83
1998,San Antonio Spurs,56.0,26.0,82,92.5,88.5,46.800000000000004,35.0,68.8,44.2,22.4,16.1,10.5,88.4,3.3
1998,Cleveland Cavaliers,47.0,35.0,82,92.5,89.8,45.4,37.2,75.6,40.1,23.1,17.3,9.8,89.9,3.06
1998,New York Knicks,43.0,39.0,82,91.6,89.1,44.7,33.5,77.2,41.6,21.8,15.2,13.9,88.2,2.74
1998,Dallas Mavericks,20.0,62.0,82,91.4,97.5,42.699999999999996,35.699999999999996,75.3,40.1,18.7,14.4,14.4,89.9,-6.33
1998,Orlando Magic,41.0,41.0,82,90.1,91.2,42.9,32.300000000000004,72.6,41.2,20.7,15.3,11.1,87.1,-0.53
1998,Denver Nuggets,11.0,71.0,82,89.0,100.8,41.699999999999996,32.300000000000004,77.2,39.0,18.9,16.0,10.9,89.7,-11.74
1998,Golden State Warriors,19.0,63.0,82,88.3,97.4,41.3,27.200000000000003,71.0,45.9,20.8,16.7,8.5,91.4,-9.2
1999,Sacramento Kings,27.0,23.0,50,100.2,100.6,44.5,30.8,68.30000000000001,45.6,22.6,16.8,18.9,96.0,-0.89
1999,Los Angeles Lakers,31.0,19.0,50,99.0,96.0,46.800000000000004,35.199999999999996,68.30000000000001,42.0,21.9,15.1,13.7,91.6,2.68
1999,Phoenix Suns,27.0,23.0,50,95.6,93.3,44.9,37.2,76.0,40.3,25.0,13.6,14.0,90.0,2.15
1999,Seattle SuperSonics,25.0,25.0,50,94.9,95.9,44.2,34.4,68.10000000000001,42.0,21.7,15.3,18.0,89.6,-1.43
1999,Portland Trail Blazers,35.0,15.0,50,94.8,88.5,44.2,36.4,74.3,44.3,21.5,15.4,13.5,89.2,5.67
1999,Indiana Pacers,33.0,17.0,50,94.7,90.9,44.800000000000004,36.8,79.60000000000001,40.5,20.1,13.0,16.0,86.4,3.86
1999,Houston Rockets,31.0,19.0,50,94.2,91.9,46.2,36.8,72.89999999999999,41.5,21.2,16.2,18.3,88.8,1.39
1999,Denver Nuggets,14.0,36.0,50,93.5,100.1,42.1,32.800000000000004,76.2,40.8,19.4,14.8,18.4,90.5,-6.67
1999,Utah Jazz,37.0,13.0,50,93.3,86.8,46.5,36.1,76.7,41.3,24.1,16.3,7.8,87.0,5.54
1999,Boston Celtics,19.0,31.0,50,93.0,94.9,43.6,36.0,69.19999999999999,42.8,21.5,16.1,15.2,91.5,-1.75
1999,Charlotte Hornets,26.0,24.0,50,92.9,93.0,44.9,36.5,74.7,39.5,22.2,15.9,14.7,89.7,0.63
1999,Minnesota Timberwolves,25.0,25.0,50,92.9,92.6,42.5,29.799999999999997,74.3,42.9,24.4,12.8,8.2,91.0,-0.17
1999,San Antonio Spurs,37.0,13.0,50,92.8,84.7,45.6,33.0,69.8,44.0,22.0,15.2,10.4,88.6,7.12
1999,Milwaukee Bucks,28.0,22.0,50,91.7,90.0,45.9,37.3,73.3,38.8,20.6,14.4,12.4,87.0,1.66
1999,Dallas Mavericks,19.0,31.0,50,91.6,94.0,43.4,33.900000000000006,72.8,42.5,18.4,13.8,11.9,89.0,-2.5
1999,New Jersey Nets,16.0,34.0,50,91.4,95.2,40.6,33.1,76.9,43.0,18.5,15.0,13.6,91.5,-3.2
1999,Washington Wizards,18.0,32.0,50,91.2,93.4,44.5,30.9,70.5,40.0,21.3,14.7,11.6,89.8,-1.75
1999,Toronto Raptors,23.0,27.0,50,91.1,92.8,42.1,34.1,76.0,43.2,20.7,16.0,13.2,88.8,-1.32
1999,Los Angeles Clippers,9.0,41.0,50,90.4,99.2,42.699999999999996,32.0,72.1,39.2,16.4,15.9,13.4,89.5,-8.94
1999,Detroit Pistons,29.0,21.0,50,90.4,86.9,44.7,36.5,74.0,40.3,20.2,15.8,13.6,86.3,3.97
1999,Philadelphia 76ers,28.0,22.0,50,89.7,87.6,42.6,26.400000000000002,72.2,43.1,18.7,16.4,7.4,88.6,2.56
1999,Orlando Magic,33.0,17.0,50,89.5,86.9,42.8,33.0,70.0,42.7,21.3,16.4,13.5,88.8,3.11
1999,Miami Heat,33.0,17.0,50,89.0,84.0,45.300000000000004,35.9,73.5,40.3,20.4,14.9,16.1,84.8,5.11
1999,Vancouver Grizzlies,8.0,42.0,50,88.9,97.5,42.8,32.7,71.7,40.2,19.3,17.0,9.1,89.0,-8.94
1999,Golden State Warriors,21.0,29.0,50,88.3,90.8,41.5,28.7,67.60000000000001,47.5,20.7,15.4,11.3,88.9,-2.63
1999,New York Knicks,27.0,23.0,50,86.4,85.4,43.5,35.3,73.2,41.2,19.3,16.1,11.8,86.9,1.45
1999,Cleveland Cavaliers,22.0,28.0,50,86.4,88.2,43.9,34.1,74.9,35.8,21.9,15.7,10.7,86.4,-0.94
1999,Atlanta Hawks,31.0,19.0,50,86.3,83.4,40.9,30.599999999999998,73.1,43.5,15.6,14.9,12.9,85.3,2.82
1999,Chicago Bulls,13.0,37.0,50,81.9,91.4,40.1,28.9,70.89999999999999,39.3,20.3,15.5,12.2,88.1,-8.58
2000,Sacramento Kings,44.0,38.0,82,105.0,102.0,45.0,32.2,75.4,45.0,23.8,16.2,20.2,99.3,3.04
2000,Detroit Pistons,42.0,40.0,82,103.5,102.0,45.9,35.9,78.10000000000001,41.2,20.8,15.7,14.9,95.7,1.13
2000,Dallas Mavericks,40.0,42.0,82,101.4,102.0,45.300000000000004,39.1,80.4,41.2,22.1,13.7,16.2,94.9,-0.29
2000,Indiana Pacers,56.0,26.0,82,101.3,96.7,45.9,39.2,81.10000000000001,42.1,22.6,14.1,18.1,93.1,4.15
2000,Milwaukee Bucks,42.0,40.0,82,101.2,101.0,46.5,36.9,78.60000000000001,41.3,22.6,15.0,13.0,92.7,-0.06
2000,Los Angeles Lakers,67.0,15.0,82,100.8,92.3,45.9,32.9,69.6,47.0,23.4,13.9,12.8,93.3,8.41
2000,Orlando Magic,41.0,41.0,82,100.1,99.4,45.2,33.800000000000004,73.5,44.9,20.8,17.6,10.6,97.3,0.43
2000,Houston Rockets,34.0,48.0,82,99.5,100.3,45.0,35.8,73.3,43.8,21.6,17.4,19.8,94.2,-0.57
2000,Boston Celtics,35.0,47.0,82,99.3,100.1,44.4,33.1,74.5,43.0,21.2,15.4,15.4,94.6,-1.0
2000,Seattle SuperSonics,45.0,37.0,82,99.1,98.1,44.7,33.900000000000006,69.5,43.0,22.9,14.0,19.6,93.4,1.17
2000,Denver Nuggets,35.0,47.0,82,99.0,101.1,44.2,33.6,72.39999999999999,44.7,23.3,15.6,17.0,94.7,-1.76
2000,Phoenix Suns,53.0,29.0,82,98.9,93.7,45.7,36.8,75.9,43.7,25.6,16.7,15.2,94.0,5.24
2000,Minnesota Timberwolves,50.0,32.0,82,98.5,96.0,46.7,34.599999999999994,78.0,42.5,26.9,13.9,8.7,91.8,2.67
2000,Charlotte Hornets,49.0,33.0,82,98.4,95.8,44.9,33.900000000000006,75.8,42.9,24.7,14.7,12.2,93.9,2.33
2000,New Jersey Nets,31.0,51.0,82,98.0,99.0,43.3,34.699999999999996,78.4,40.9,20.6,13.6,16.8,92.5,-1.18
2000,Portland Trail Blazers,59.0,23.0,82,97.5,91.0,47.0,36.1,76.0,43.0,23.5,15.2,13.8,89.9,6.36
2000,Toronto Raptors,45.0,37.0,82,97.2,97.3,43.3,36.3,76.5,43.3,23.7,13.9,14.3,92.5,-0.46
2000,Cleveland Cavaliers,32.0,50.0,82,97.0,100.5,44.2,37.3,75.0,42.8,23.7,17.4,11.2,95.7,-3.64
2000,Washington Wizards,29.0,53.0,82,96.6,99.9,45.1,37.6,74.3,42.7,21.6,16.1,10.9,92.7,-3.47
2000,Utah Jazz,55.0,27.0,82,96.5,92.0,46.400000000000006,38.5,77.3,41.0,24.9,14.9,10.4,89.6,4.52
2000,San Antonio Spurs,53.0,29.0,82,96.2,90.2,46.2,37.4,74.6,43.8,22.2,15.0,10.8,90.8,5.92
2000,Golden State Warriors,19.0,63.0,82,95.5,103.8,42.0,32.300000000000004,69.69999999999999,45.6,22.6,15.9,13.0,95.4,-7.63
2000,Philadelphia 76ers,49.0,33.0,82,94.8,93.4,44.2,32.300000000000004,70.8,44.1,22.2,15.7,7.8,92.7,1.02
2000,Miami Heat,52.0,30.0,82,94.4,91.3,46.0,37.1,73.6,43.2,23.5,15.0,14.7,89.7,2.75
2000,Atlanta Hawks,28.0,54.0,82,94.3,99.7,44.1,31.7,74.3,45.3,18.9,15.4,9.9,91.7,-5.41
2000,Vancouver Grizzlies,22.0,60.0,82,93.9,99.5,44.9,36.1,77.4,40.6,20.7,16.8,11.0,91.0,-5.1
2000,New York Knicks,50.0,32.0,82,92.1,90.7,45.5,37.5,78.10000000000001,40.5,19.4,14.6,11.4,89.2,1.3
2000,Los Angeles Clippers,15.0,67.0,82,92.0,103.5,42.6,33.900000000000006,74.6,40.6,18.0,16.2,15.5,93.9,-10.73
2000,Chicago Bulls,17.0,65.0,82,84.8,94.2,41.5,32.9,70.89999999999999,40.9,20.1,19.0,12.6,89.4,-9.23
2001,Sacramento Kings,55.0,27.0,82,101.7,95.9,44.9,35.4,77.10000000000001,45.0,22.6,14.9,16.5,94.4,6.07
2001,Milwaukee Bucks,52.0,30.0,82,100.7,96.9,45.800000000000004,37.9,78.7,42.4,22.5,13.7,18.1,92.1,3.14
2001,Los Angeles Lakers,56.0,26.0,82,100.6,97.2,46.5,34.4,68.30000000000001,44.7,23.0,14.4,15.5,91.7,3.74
2001,Dallas Mavericks,53.0,29.0,82,100.5,96.2,45.9,38.1,79.4,41.5,21.2,13.9,16.5,93.2,4.61
2001,Toronto Raptors,47.0,35.0,82,97.6,95.4,43.7,36.9,74.7,44.5,24.4,13.2,14.2,90.9,1.69
2001,Orlando Magic,43.0,39.0,82,97.5,96.5,43.8,36.4,71.39999999999999,42.9,22.0,15.2,16.4,93.2,0.39
2001,Seattle SuperSonics,44.0,38.0,82,97.3,97.3,45.6,39.900000000000006,73.2,41.7,21.9,15.3,14.3,91.6,0.55
2001,Minnesota Timberwolves,47.0,35.0,82,97.3,96.0,45.800000000000004,35.699999999999996,78.5,42.3,25.4,13.9,11.0,91.8,1.81
2001,Houston Rockets,45.0,37.0,82,97.2,94.9,45.300000000000004,35.699999999999996,75.8,42.0,19.7,14.7,17.2,90.4,2.71
2001,Utah Jazz,53.0,29.0,82,97.1,92.4,47.099999999999994,38.1,75.2,40.6,25.7,15.8,10.4,89.8,5.0
2001,Denver Nuggets,40.0,42.0,82,96.6,99.0,43.3,35.5,73.7,44.2,24.0,13.9,17.6,92.6,-1.83
2001,San Antonio Spurs,58.0,24.0,82,96.2,88.4,46.1,40.699999999999996,71.5,44.1,21.7,14.0,13.3,89.6,7.92
2001,Detroit Pistons,32.0,50.0,82,95.6,97.3,42.4,35.0,72.1,45.5,19.9,15.9,13.6,94.7,-2.08
2001,Portland Trail Blazers,50.0,32.0,82,95.4,91.2,46.800000000000004,34.9,76.2,42.0,23.9,15.3,12.9,89.1,4.52
2001,Philadelphia 76ers,56.0,26.0,82,94.7,90.4,44.7,32.6,74.5,44.8,20.6,15.8,9.8,90.6,3.64
2001,Boston Celtics,36.0,46.0,82,94.6,96.8,42.8,36.3,74.0,39.8,20.8,15.7,19.9,92.6,-2.4
2001,Phoenix Suns,51.0,31.0,82,94.0,91.8,43.6,31.5,75.5,42.7,23.2,15.2,12.9,93.1,2.63
2001,Washington Wizards,19.0,63.0,82,93.2,99.9,43.9,32.4,75.9,41.3,20.1,17.0,10.3,92.7,-6.75
2001,Indiana Pacers,41.0,41.0,82,92.6,92.8,44.0,34.2,76.6,42.9,21.5,15.2,14.1,89.4,-0.77
2001,Los Angeles Clippers,31.0,51.0,82,92.5,95.3,44.800000000000004,33.900000000000006,69.3,42.9,19.3,15.8,13.0,89.6,-2.23
2001,Golden State Warriors,17.0,65.0,82,92.5,101.5,40.9,29.299999999999997,70.6,45.5,21.8,15.9,11.8,94.1,-8.11
2001,Cleveland Cavaliers,30.0,52.0,82,92.2,96.5,44.2,33.4,76.5,42.1,20.8,16.5,8.0,91.2,-4.48
2001,New Jersey Nets,26.0,56.0,82,92.1,97.1,42.5,33.300000000000004,75.9,39.6,19.5,14.7,13.2,91.8,-5.3
2001,Charlotte Hornets,46.0,36.0,82,91.9,89.8,43.1,34.599999999999994,74.5,44.4,23.2,14.4,12.0,89.4,1.45
2001,Vancouver Grizzlies,23.0,59.0,82,91.7,97.5,43.9,34.300000000000004,77.0,40.5,23.2,15.7,11.5,91.7,-4.94
2001,Atlanta Hawks,25.0,57.0,82,91.0,96.2,43.1,35.699999999999996,75.9,42.9,19.0,16.7,11.4,91.9,-5.55
2001,Miami Heat,50.0,32.0,82,88.9,86.6,43.0,34.5,75.9,39.6,19.9,13.7,16.9,87.1,1.73
2001,New York Knicks,48.0,34.0,82,88.7,86.1,44.4,35.099999999999994,79.60000000000001,40.2,18.5,14.5,13.6,86.7,1.98
2001,Chicago Bulls,15.0,67.0,82,87.6,96.7,42.4,34.599999999999994,73.9,38.9,22.1,15.8,11.6,89.3,-9.09
2002,Dallas Mavericks,57.0,25.0,82,105.2,101.0,46.2,37.8,80.60000000000001,42.5,22.1,12.1,20.1,92.8,4.41
2002,Sacramento Kings,61.0,21.0,82,104.6,97.0,46.7,36.7,75.1,45.3,23.9,13.8,14.1,95.6,7.61
2002,Los Angeles Lakers,58.0,24.0,82,101.3,94.1,46.1,35.4,69.89999999999999,44.3,23.0,12.7,17.5,92.1,7.15
2002,Orlando Magic,44.0,38.0,82,100.5,98.9,44.800000000000004,37.3,75.4,41.2,22.0,13.6,20.2,93.2,1.25
2002,Minnesota Timberwolves,50.0,32.0,82,99.3,96.0,46.1,37.8,79.80000000000001,44.2,24.3,13.4,12.8,90.5,3.58
2002,Golden State Warriors,21.0,61.0,82,97.7,103.1,42.9,32.2,72.2,46.7,20.8,16.8,12.1,94.5,-4.8
2002,Seattle SuperSonics,45.0,37.0,82,97.7,94.7,46.9,37.8,75.5,40.3,23.5,13.7,15.8,89.0,3.24
2002,Milwaukee Bucks,41.0,41.0,82,97.5,97.7,46.2,37.5,74.8,41.4,22.5,14.1,19.3,90.2,-0.62
2002,Indiana Pacers,42.0,40.0,82,96.8,96.5,44.6,33.900000000000006,77.2,42.7,23.0,15.2,14.6,91.9,-0.07
2002,San Antonio Spurs,58.0,24.0,82,96.7,90.5,45.800000000000004,36.199999999999996,74.2,42.4,20.0,14.4,14.8,90.0,6.28
2002,Portland Trail Blazers,49.0,33.0,82,96.6,93.7,45.0,35.4,76.3,43.0,23.5,14.3,16.1,89.3,3.21
2002,Boston Celtics,49.0,33.0,82,96.4,94.1,42.4,35.9,76.4,42.2,21.0,13.6,23.7,92.5,1.75
2002,New Jersey Nets,52.0,30.0,82,96.2,92.0,44.6,33.800000000000004,73.5,43.3,24.3,14.5,14.6,91.8,3.67
2002,Utah Jazz,44.0,38.0,82,96.0,95.1,45.0,33.300000000000004,76.3,42.2,24.4,16.5,10.3,90.3,1.21
2002,Los Angeles Clippers,39.0,43.0,82,95.7,96.1,44.5,35.6,73.9,43.4,20.9,14.8,14.0,90.1,-0.09
2002,Cleveland Cavaliers,29.0,53.0,82,95.3,98.6,44.800000000000004,37.7,77.2,42.1,23.1,14.6,12.5,90.3,-3.52
2002,Phoenix Suns,36.0,46.0,82,95.1,95.8,44.7,32.7,76.7,42.7,22.4,14.7,13.4,91.4,-0.3
2002,Detroit Pistons,50.0,32.0,82,94.3,92.2,45.2,37.6,75.6,38.7,21.5,14.5,18.4,90.0,1.69
2002,Atlanta Hawks,33.0,49.0,82,94.0,98.3,43.9,35.4,76.5,41.5,20.2,15.5,14.6,91.9,-4.41
2002,Charlotte Hornets,44.0,38.0,82,93.9,92.9,44.0,34.8,74.5,43.5,21.5,14.0,12.1,89.7,0.57
2002,Washington Wizards,37.0,45.0,82,92.8,94.2,44.1,38.800000000000004,76.5,42.0,20.9,13.0,9.6,88.3,-1.58
2002,Houston Rockets,28.0,54.0,82,92.3,97.2,42.8,33.5,74.1,41.9,18.1,14.1,18.0,88.2,-4.31
2002,Denver Nuggets,27.0,55.0,82,92.2,98.0,42.4,32.9,74.4,41.8,22.2,14.7,15.7,90.4,-5.19
2002,New York Knicks,30.0,52.0,82,91.6,95.6,43.2,35.3,78.7,40.7,21.0,14.5,16.4,89.7,-4.15
2002,Toronto Raptors,42.0,40.0,82,91.4,91.8,43.4,34.9,73.9,42.1,21.7,14.3,13.5,88.8,-0.71
2002,Philadelphia 76ers,43.0,39.0,82,91.0,89.4,43.6,29.9,77.9,44.2,20.0,15.3,8.7,88.9,1.27
2002,Memphis Grizzlies,23.0,59.0,82,89.9,97.3,43.6,30.7,70.8,41.4,21.8,16.4,13.4,91.1,-6.74
2002,Chicago Bulls,21.0,61.0,82,89.5,98.0,43.3,34.599999999999994,72.2,40.0,22.2,15.3,10.6,90.5,-8.52
2002,Miami Heat,36.0,46.0,82,87.2,88.7,43.9,34.699999999999996,72.39999999999999,42.0,20.3,14.8,11.0,87.4,-1.84
2003,Dallas Mavericks,60.0,22.0,82,103.0,95.2,45.300000000000004,38.1,82.89999999999999,42.1,22.4,11.6,20.3,92.5,7.9
2003,Golden State Warriors,38.0,44.0,82,102.4,103.6,44.1,34.4,77.8,46.7,20.9,15.8,15.1,94.2,-0.6
2003,Sacramento Kings,59.0,23.0,82,101.7,95.2,46.400000000000006,38.1,74.6,44.5,24.8,14.5,15.7,95.4,6.68
2003,Los Angeles Lakers,50.0,32.0,82,100.4,98.0,45.1,35.6,73.4,44.3,23.3,14.5,16.7,92.5,2.71
2003,Milwaukee Bucks,42.0,40.0,82,99.5,99.3,45.7,38.3,77.60000000000001,39.5,22.2,12.7,18.6,90.4,-0.24
2003,Orlando Magic,42.0,40.0,82,98.5,98.4,43.6,35.699999999999996,77.7,40.9,20.4,14.4,19.4,93.1,-0.39
2003,Minnesota Timberwolves,51.0,31.0,82,98.1,96.0,46.6,36.8,77.0,43.6,25.2,13.7,9.8,91.9,2.46
2003,Memphis Grizzlies,28.0,54.0,82,97.5,100.7,45.2,36.5,73.9,41.6,23.1,15.4,15.6,92.7,-2.6
2003,Philadelphia 76ers,48.0,34.0,82,96.8,94.5,44.800000000000004,31.1,77.5,42.2,21.6,14.8,9.6,91.4,1.76
2003,Indiana Pacers,48.0,34.0,82,96.8,93.3,44.1,33.900000000000006,76.6,44.2,23.3,14.8,13.6,91.6,2.79
2003,New York Knicks,37.0,45.0,82,95.9,97.2,44.1,38.3,81.5,39.2,22.0,14.0,19.3,90.7,-1.61
2003,San Antonio Spurs,60.0,22.0,82,95.8,90.4,46.2,35.4,72.5,42.6,20.0,15.8,15.5,90.0,5.65
2003,Phoenix Suns,44.0,38.0,82,95.5,94.4,44.3,34.300000000000004,74.2,42.5,21.0,14.7,14.0,91.5,1.57
2003,New Jersey Nets,49.0,33.0,82,95.4,90.1,44.1,33.2,75.7,42.9,23.0,14.8,12.7,91.6,4.42
2003,Portland Trail Blazers,50.0,32.0,82,95.2,92.5,46.0,33.0,74.5,41.1,22.7,15.2,14.0,89.4,2.97
2003,Chicago Bulls,30.0,52.0,82,95.0,100.1,44.5,35.0,72.2,43.0,21.7,16.9,12.2,93.5,-5.31
2003,Utah Jazz,47.0,35.0,82,94.7,92.3,46.800000000000004,34.9,74.5,41.5,25.6,16.8,7.8,89.3,2.76
2003,Atlanta Hawks,35.0,47.0,82,94.1,97.6,44.4,35.199999999999996,79.3,42.6,20.5,16.7,13.9,91.0,-3.87
2003,New Orleans Hornets,47.0,35.0,82,93.9,91.8,43.5,37.6,76.8,43.6,22.0,14.8,13.1,89.4,1.52
2003,Los Angeles Clippers,27.0,55.0,82,93.8,97.9,43.7,33.1,75.0,42.3,19.6,15.7,14.4,91.3,-3.45
2003,Houston Rockets,43.0,39.0,82,93.8,92.3,44.0,34.599999999999994,76.8,43.8,18.4,15.6,15.5,88.8,1.89
2003,Boston Celtics,44.0,38.0,82,92.7,93.1,41.5,33.4,74.2,40.5,19.2,14.0,26.3,90.9,-0.75
2003,Seattle SuperSonics,40.0,42.0,82,92.1,92.3,43.7,35.3,74.4,40.8,21.6,13.2,15.7,88.0,0.37
2003,Washington Wizards,37.0,45.0,82,91.5,92.5,44.0,31.2,77.9,40.4,19.7,13.4,9.9,88.2,-1.47
2003,Detroit Pistons,50.0,32.0,82,91.4,87.7,43.0,35.8,77.10000000000001,40.6,19.8,13.5,18.1,86.8,2.97
2003,Cleveland Cavaliers,17.0,65.0,82,91.4,101.0,42.199999999999996,32.7,74.7,44.6,20.9,18.3,10.9,94.0,-9.59
2003,Toronto Raptors,24.0,58.0,82,90.9,96.8,42.699999999999996,34.300000000000004,71.8,41.2,19.3,14.4,14.5,89.9,-6.1
2003,Miami Heat,25.0,57.0,82,85.6,90.6,41.199999999999996,31.6,76.5,41.6,18.3,14.2,13.4,87.8,-5.13
2003,Denver Nuggets,17.0,65.0,82,84.2,92.4,41.099999999999994,27.800000000000004,69.89999999999999,42.4,21.2,18.5,10.0,91.0,-7.41
2004,Dallas Mavericks,52.0,30.0,82,105.2,100.8,45.9,34.8,79.60000000000001,45.3,23.9,12.2,17.8,93.2,4.86
2004,Sacramento Kings,55.0,27.0,82,102.8,97.8,46.2,40.1,79.5,41.2,26.2,13.9,18.3,92.8,5.41
2004,Los Angeles Lakers,56.0,26.0,82,98.2,94.3,45.4,32.7,69.3,43.1,23.8,13.8,13.6,92.3,4.35
